"EVENT_TYPE_ID","SUB_EVENT_TYPE_ID","MODIFIER","CALL_TYPE","CHRG_TYPE","COMPANY_NAME"
"201","2",NOR,"20","1",AWN
"201","3",NOR,"20","1",AWN
"201","4",NOR,"20","1",AWN
"201","5",NOR,"20","1",AWN
"201","6",NOR,"20","1",AWN
"201","1",FWD,"20","1",AWN
"201","2",FWD,"20","1",AWN
"201","3",FWD,"20","1",AWN
"201","4",FWD,"20","1",AWN
"201","5",FWD,"20","1",AWN
"201","6",FWD,"20","1",AWN
"231","1",NOR,"20","0",AWN
"231","2",NOR,"20","0",AWN
"231","3",NOR,"20","0",AWN
"231","4",NOR,"20","0",AWN
"231","1",FWD,"20","0",AWN
"231","2",FWD,"20","0",AWN
"231","3",FWD,"20","0",AWN
"231","4",FWD,"20","0",AWN
"202","1",NOR,"30","1",AWN
"202","2",NOR,"30","1",AWN
"202","3",NOR,"30","1",AWN
"202","4",NOR,"30","1",AWN
"202","5",NOR,"30","1",AWN
"202","6",NOR,"30","1",AWN
"202","1",FWD,"30","1",AWN
"202","2",FWD,"30","1",AWN
"202","3",FWD,"30","1",AWN
"202","4",FWD,"30","1",AWN
"202","5",FWD,"30","1",AWN
"202","6",FWD,"30","1",AWN
"232","1",NOR,"30","0",AWN
"232","2",NOR,"30","0",AWN
"232","3",NOR,"30","0",AWN
"232","4",NOR,"30","0",AWN
"232","1",FWD,"30","0",AWN
"232","2",FWD,"30","0",AWN
"232","3",FWD,"30","0",AWN
"232","4",FWD,"30","0",AWN
"203","1",NOR,"20","1",AWN
"203","2",NOR,"20","1",AWN
"203","3",NOR,"20","1",AWN
"203","4",NOR,"20","1",AWN
"203","5",NOR,"20","1",AWN
"203","6",NOR,"20","1",AWN
"203","1",FWD,"20","1",AWN
"203","2",FWD,"20","1",AWN
"203","3",FWD,"20","1",AWN
"203","4",FWD,"20","1",AWN
"203","5",FWD,"20","1",AWN
"203","6",FWD,"20","1",AWN
"233","1",NOR,"20","0",AWN
"233","2",NOR,"20","0",AWN
"233","3",NOR,"20","0",AWN
"233","4",NOR,"20","0",AWN
"233","1",FWD,"20","0",AWN
"233","2",FWD,"20","0",AWN
"233","3",FWD,"20","0",AWN
"233","4",FWD,"20","0",AWN
"204","1",NOR,"30","1",AWN
"204","2",NOR,"30","1",AWN
"204","3",NOR,"30","1",AWN
"204","4",NOR,"30","1",AWN
"204","5",NOR,"30","1",AWN
"204","6",NOR,"30","1",AWN
"204","1",FWD,"30","1",AWN
"204","2",FWD,"30","1",AWN
"204","3",FWD,"30","1",AWN
"204","4",FWD,"30","1",AWN
"204","5",FWD,"30","1",AWN
"204","6",FWD,"30","1",AWN
"234","1",NOR,"30","0",AWN
"234","2",NOR,"30","0",AWN
"234","3",NOR,"30","0",AWN
"234","4",NOR,"30","0",AWN
"234","1",FWD,"30","0",AWN
"234","2",FWD,"30","0",AWN
"234","3",FWD,"30","0",AWN
"234","4",FWD,"30","0",AWN
"205","1",NOR,"21","1",AWN
"205","2",NOR,"21","1",AWN
"205","3",NOR,"21","1",AWN
"205","4",NOR,"21","1",AWN
"205","5",NOR,"21","1",AWN
"205","6",NOR,"21","1",AWN
"205","5",FWD,"21","1",AWN
"205","6",FWD,"21","1",AWN
"235","1",NOR,"21","0",AWN
"235","2",NOR,"21","0",AWN
"235","3",NOR,"21","0",AWN
"235","4",NOR,"21","0",AWN
"206","1",NOR,"31","1",AWN
"206","2",NOR,"31","1",AWN
"206","3",NOR,"31","1",AWN
"206","4",NOR,"31","1",AWN
"206","5",NOR,"31","1",AWN
"206","6",NOR,"31","1",AWN
"206","5",FWD,"31","1",AWN
"206","6",FWD,"31","1",AWN
"236","1",NOR,"31","0",AWN
"236","2",NOR,"31","0",AWN
"236","3",NOR,"31","0",AWN
"236","4",NOR,"31","0",AWN
"207","1",NOR,"18","1",AWN
"207","2",NOR,"18","1",AWN
"207","3",NOR,"18","1",AWN
"207","4",NOR,"18","1",AWN
"207","5",NOR,"18","1",AWN
"207","6",NOR,"18","1",AWN
"207","5",FWD,"18","1",AWN
"207","6",FWD,"18","1",AWN
"237","1",NOR,"18","0",AWN
"237","2",NOR,"18","0",AWN
"237","3",NOR,"18","0",AWN
"237","4",NOR,"18","0",AWN
